node,Approx_local_CC
0,0.2201361300198509
1,0.03260584332513794
2,0.009731168889819479
3,0.08181818181818182
4,0.048510674931129476
5,0.020775879584833786
6,0.1065771349862259
7,0.0
8,0.00787878787878788
9,0.1789125748803168
10,0.0033654729109274567
11,0.002825213551924365
12,0.4004329004329005
13,0.0
14,0.010069444444444443
15,0.005828836308288363
16,0.0
17,0.050598648842796
18,0.0
19,0.033565888476602766
20,0.00393939393939394
21,0.07800253886404879
22,0.02703538550057537
23,0.09198143126714557
24,0.0
25,0.0
26,0.057862679955703204
27,0.06806028196402528
28,0.054004329004329
29,0.04242424242424243
30,0.013126959247648904
31,0.0
32,0.044959207459207465
33,0.012928194993412386
34,0.022058823529411766
35,0.10409652076318744
36,0.015040106951871657
37,0.01225239407057589
38,0.0
39,0.009785137775568397
40,0.0207566168009206
41,0.0563168449197861
42,0.012820512820512818
43,0.0
44,0.07009799895978758
45,0.004800776754890679
46,0.0
47,0.008594544958181322
48,0.10619098619098619
49,0.03559341175620245
50,0.023225134195356715
51,0.02429690743046907
52,0.0
53,0.04673356946084219
54,0.07350114043662431
55,0.015278838808250572
56,0.06347702950051944
57,0.0
58,0.0
59,0.0
60,0.01629529827364559
61,0.012575757575757577
62,0.00816607634789453
63,0.009872662798194713
64,0.006535947712418301
65,0.0
66,0.05575834421988269
67,0.05037829748559061
68,0.04067665289256199
69,0.0
70,0.0
71,0.0
72,0.007018716577540107
73,0.010273147287462214
74,0.0040559440559440555
75,0.0
76,0.09236777715038584
77,0.0025490196078431374
78,0.026905080213903743
79,0.0
80,0.00553030303030303
81,0.09191227075907954
82,0.03403098784454717
83,0.08650973315699584
84,0.06348449530267714
85,0.002630963588967052
86,0.02270879526977088
87,0.013608870967741936
88,0.011386938420431245
89,0.11344211344211345
90,0.21639723912451184
91,0.01984126984126984
92,0.0
93,0.0
94,0.37523118509034004
95,0.005488466757123473
96,0.0
97,0.07295769559768703
98,0.010992275698158051
99,0.0
100,0.014484467314655993
101,0.015000670421024405
102,0.0
103,0.03688333705939339
104,0.019314648942067143
105,0.028588516746411483
106,0.013875164690382082
107,0.027267177267177273
108,0.0
109,0.0
110,0.0069431209368316284
111,0.07212993922617071
112,0.048451548451548455
113,0.015217266021207931
114,0.006974506974506974
115,0.01128787878787879
116,0.0009850446535945535
117,0.00324715934472032
118,0.008732450463009061
119,0.004201680672268907
120,0.0
121,0.008851674641148326
122,0.0
123,0.0
124,0.12461815738025414
125,0.15893939393939396
126,0.09101731601731601
127,0.0
128,0.0
129,0.05610372338061125
130,0.03694399535712805
131,0.1511037981626217
132,0.03269340836277326
133,0.0
134,0.0059386973180076625
135,0.012009297520661159
136,0.018448605657907985
137,0.04154281683810548
138,0.0
139,0.09733319094178822
140,0.0
141,0.012679425837320575
142,0.007468056243010871
143,0.0
144,0.008308895405669599
145,0.0
146,0.04726239669421487
147,0.014935064935064935
148,0.018670377241805813
149,0.006646294881588999
150,0.007575757575757576
151,0.04725329410864002
152,0.0030706288859908264
153,0.024606680616910796
154,0.010189553317183051
155,0.08829627863718773
156,0.003593244699964068
157,0.0
158,0.032465492024315555
159,0.0
160,0.02252252252252252
161,0.05113636363636364
162,0.0
163,0.015386312716409806
164,0.11268939393939394
165,0.01701621477937267
166,0.02970599661776132
167,0.14830368906455862
168,0.0
169,0.025390749601275915
170,0.06952783325283779
171,0.07668712240140811
172,0.0
173,0.04239766081871345
174,0.016028511718166893
175,0.005392912172573189
176,0.0
177,0.0
178,0.0
179,0.10610371136686926
180,0.018267775734589896
181,0.0
182,0.16666666666666666
183,0.01860961695748554
184,0.005624286811359953
185,0.0
186,0.08137077294685992
187,0.009990009990009992
188,0.010109242037256555
189,0.17752814521489227
190,0.4040847067162857
191,0.13264050764050764
192,0.0
193,0.015517241379310346
194,0.0012568077084206116
195,0.033002645502645506
196,0.004779785662138603
197,0.04176787751605144
198,0.0
199,0.005522971652003911
200,0.03354978354978355
201,0.0
202,0.11445966823873802
203,0.007354741356291407
