motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
AAABPI, 6.3153e+24, 8.9570e-01, 817459, N, 7, 150395 34301 81430 44015 93248 82749 125642
AAADOI, 4.3446e+23, 6.1620e-02, 56237, N, 7, 167038 51136 141566 4227 25302 51733 125642
AAADPI, 1.3289e+23, 1.8848e-02, 51605, N, 21, 32955 12106 159816 142278 25809 90021 71050
AAAHNA, 4.1602e+22, 5.9004e-03, 5385, N, 7, 69372 44959 71756 80631 73401 113417 61862
AAAHNI, 2.4982e+22, 3.5432e-03, 9701, N, 21, 127992 16500 94510 118628 65867 125642 61862
AAAHMI, 2.3200e+22, 3.2904e-03, 3003, N, 7, 160421 150788 82202 150724 74485 153672 64605
AAAHPI, 1.0892e+22, 1.5448e-03, 11279, N, 56, 63637 35590 125748 27292 128222 25732 52703
AACGNA, 9.9273e+21, 1.4080e-03, 1285, N, 7, 48279 57132 119035 154188 97803 52703 139587
AAAHPA, 9.6511e+21, 1.3688e-03, 4997, N, 28, 93558 35538 53674 167949 59277 75782 61862
AAIFJI, 7.9805e+21, 1.1319e-03, 1033, N, 7, 34137 38614 51609 84427 18212 84751 71050
AAAPLI, 6.6430e+21, 9.4218e-04, 6879, N, 56, 57984 5262 43072 103684 86700 71050 61862
AACGNI, 6.2062e+21, 8.8022e-04, 2410, N, 21, 78136 116565 158044 139309 48549 32283 85877
AAAPLA, 5.3577e+21, 7.5988e-04, 2774, N, 28, 108277 163270 99865 123873 30268 161362 61862
AEADLI, 4.2748e+21, 6.0630e-04, 1660, N, 21, 35041 127027 7921 162443 93649 124286 61862
AAAPPI, 2.1786e+21, 3.0899e-04, 5640, N, 140, 117450 140328 117446 8050 99628 32283 61862
ACAGMI, 1.9314e+21, 2.7393e-04, 250, N, 7, 21846 47919 101500 72642 104474 47049 125642
AAJFDA, 1.3365e+21, 1.8956e-04, 173, N, 7, 166224 91078 73869 98060 116057 40448 123018
AACOPI, 1.3153e+21, 1.8655e-04, 3405, N, 140, 56683 147958 28243 44869 39320 110345 61862
AAIHKA, 1.1820e+21, 1.6764e-04, 153, N, 7, 40101 22143 145766 70420 149870 112901 14793
AAAPPA, 8.9938e+20, 1.2756e-04, 1397, N, 84, 55379 2059 39329 54087 7428 84226 5507
AAIHKI, 6.3092e+20, 8.9483e-05, 245, N, 21, 90552 167644 135718 32147 148188 36837 78367
AABPPI, 6.0758e+20, 8.6173e-05, 3775, N, 336, 155526 83946 162533 73687 11929 125642 61862
AEADPI, 5.6053e+20, 7.9500e-05, 653, N, 63, 7764 100209 31749 126095 98431 83691 61862
AEBDDI, 5.5624e+20, 7.8891e-05, 216, N, 21, 2001 49342 31063 85877 113620 69967 125642
AAELKI, 4.6160e+20, 6.5469e-05, 239, N, 28, 114162 164943 25111 114645 40604 32583 162052
AAIHLI, 4.2587e+20, 6.0401e-05, 441, N, 56, 23015 31006 121711 154437 16379 106892 61862
AAIHJI, 4.1460e+20, 5.8803e-05, 161, N, 21, 111969 5048 159531 115476 104474 46979 52703
AACOPA, 4.0752e+20, 5.7799e-05, 633, N, 84, 45071 87998 112197 93754 38417 125642 32338
AAEHMI, 4.0688e+20, 5.7708e-05, 158, N, 21, 158946 28725 56199 10606 127553 138089 61862
AAEHNI, 2.2114e+20, 3.1365e-05, 229, N, 56, 70322 42255 140572 60422 40604 41779 60588
AAIHOI, 2.1772e+20, 3.0879e-05, 310, N, 77, 142806 40427 12686 45518 96426 107926 61862
ABANHA, 1.9700e+20, 2.7941e-05, 102, N, 28, 151924 14602 30824 22816 105097 23978 61780
AAEPJA, 1.8799e+20, 2.6662e-05, 73, N, 21, 156556 63816 97396 111308 91448 151091 125642
CAAHHI, 1.6513e+20, 2.3421e-05, 171, N, 56, 36203 117505 158501 116273 59304 152 110345
AAFJHA, 1.6224e+20, 2.3010e-05, 63, N, 21, 96063 86170 46395 163584 59532 127601 32147
ABENBI, 1.3520e+20, 1.9175e-05, 70, N, 28, 138811 162663 41499 62589 67333 110345 55051
AAIHPI, 1.3170e+20, 1.8679e-05, 358, N, 147, 103613 125942 56035 121237 55192 141994 64605
AAIHOA, 1.3133e+20, 1.8627e-05, 85, N, 35, 60006 114279 155151 97625 100148 156782 61862
AAEPJI, 1.2940e+20, 1.8353e-05, 134, N, 56, 119612 12927 2396 50978 33333 137373 58773
AAFJDI, 1.1846e+20, 1.6801e-05, 46, N, 21, 57912 156729 24785 119320 90650 5507 12134
ACBGHI, 1.1009e+20, 1.5614e-05, 114, N, 56, 98996 38494 110240 125963 67333 111372 73081
AAFJHI, 1.0987e+20, 1.5583e-05, 128, N, 63, 63689 28297 2927 132098 60868 52703 32338
AAEHPI, 1.0285e+20, 1.4587e-05, 213, N, 112, 92291 141893 88652 94584 19797 60752 32338
AABPPA, 9.3431e+19, 1.3251e-05, 387, N, 224, 54964 17014 102924 10903 37727 94979 125642
ABAPGI, 8.4981e+19, 1.2053e-05, 88, N, 56, 165659 75186 165639 17877 108640 61862 32283
