motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
ADM, 2.1946e+17, 9.3746e-01, 907267, N, 5, 31163 17162 100868 79275 61862
AHE, 1.0364e+16, 4.4272e-02, 42846, N, 5, 138130 9275 47423 104508 31559
AHM, 2.3829e+15, 1.0179e-02, 29554, N, 15, 89223 76061 9967 60803 32338
BFI, 1.0701e+15, 4.5712e-03, 4424, N, 5, 15031 117454 128315 3711 60843
BFM, 4.0677e+14, 1.7376e-03, 5045, N, 15, 15671 29367 153445 66353 37818
APM, 1.6784e+14, 7.1697e-04, 5551, N, 40, 50655 38247 157058 10097 64605
API, 1.6255e+14, 6.9436e-04, 2688, N, 20, 166203 49029 140621 26309 61862
IFM, 5.1199e+13, 2.1871e-04, 635, N, 15, 1479 70651 64869 93754 155127
COM, 1.0703e+13, 4.5723e-05, 354, N, 40, 153922 25157 31853 158363 52195
BPM, 1.0244e+13, 4.3759e-05, 847, N, 100, 43907 7616 110778 110345 71050
BPI, 4.3741e+12, 1.8685e-05, 217, N, 60, 129161 87177 166472 7612 9275
CPM, 2.5700e+12, 1.0979e-05, 170, N, 80, 142245 107149 35787 148905 110345
IHM, 2.3114e+12, 9.8735e-06, 86, N, 45, 163508 104047 6250 5487 71050
JFM, 2.1330e+12, 9.1116e-06, 97, N, 55, 84427 7083 58773 34545 141561
MIM, 1.4997e+12, 6.4063e-06, 31, N, 25, 12004 163873 143051 129514 89464
EPM, 1.2670e+12, 5.4124e-06, 110, N, 105, 66383 30892 64605 60379 125642
DPM, 2.9026e+11, 1.2399e-06, 48, N, 200, 67270 160973 110655 13233 32338
MNM, 1.8141e+11, 7.7496e-07, 18, N, 120, 48413 86685 149142 166020 57148
HPM, 2.9026e+10, 1.2399e-07, 9, N, 375, 115816 92897 94979 62133 140557
MPM, 1.6126e+10, 6.8885e-08, 3, N, 225, 53473 73894 60183 11494 121218
