motif, est_occurrences, est_frequency, samples, sampling_algo, spanning_trees, vertices
AADO, 1.2576e+21, 9.1768e-01, 433941, N, 6, 119007 28570 52533 59485 106226 61862
AAHK, 7.0924e+19, 5.1754e-02, 24473, N, 6, 11964 1962 125989 122670 49113 71050
AAHO, 1.9435e+19, 1.4182e-02, 20119, N, 18, 137280 26177 47275 122077 153672 32338
AAPE, 7.7146e+18, 5.6295e-03, 2662, N, 6, 119008 73841 105137 132889 76961 78367
AAPG, 4.2031e+18, 3.0671e-03, 4351, N, 18, 153597 135044 111372 129149 110345 71050
ACFK, 3.6834e+18, 2.6879e-03, 1271, N, 6, 126668 69551 60200 165189 61862 52703
AAPO, 1.4729e+18, 1.0748e-03, 4066, N, 48, 143638 112421 164551 4558 125642 71050
AAPM, 1.3324e+18, 9.7226e-04, 1839, N, 24, 167166 111274 95344 71021 32283 125642
AIKG, 1.3012e+18, 9.4953e-04, 449, N, 6, 55541 136446 87970 37039 48868 146733
ACNO, 5.4845e+17, 4.0022e-04, 1514, N, 48, 16238 13242 45075 130614 71050 167147
ACNM, 4.7166e+17, 3.4418e-04, 651, N, 24, 96995 34863 62961 69983 26309 32338
CAGO, 4.1442e+17, 3.0241e-04, 429, N, 18, 35003 8121 75152 58090 146692 32338
ABPO, 2.4590e+17, 1.7944e-04, 1697, N, 120, 102308 58477 146660 48290 64605 61862
AGJE, 2.4344e+17, 1.7764e-04, 84, N, 6, 3787 87572 64003 80767 21854 156782
CCEO, 1.4973e+17, 1.0926e-04, 155, N, 18, 70729 35519 152296 68812 86266 152857
AHAO, 9.1771e+16, 6.6967e-05, 95, N, 18, 116502 81885 95518 144347 128864 152881
ABPM, 9.1288e+16, 6.6615e-05, 378, N, 72, 16561 114324 26580 36850 54063 32338
AIOO, 6.8104e+16, 4.9697e-05, 188, N, 48, 122413 14383 44480 113830 153473 7329
AGJG, 6.0859e+16, 4.4410e-05, 84, N, 24, 64008 112537 35543 20387 64605 37182
BBEO, 5.5063e+16, 4.0180e-05, 57, N, 18, 106236 161171 26302 111372 4280 8176
AEPG, 4.3108e+16, 3.1457e-05, 119, N, 48, 94887 55414 104152 20424 45910 52703
CAHO, 4.1217e+16, 3.0077e-05, 128, N, 54, 333 20810 11052 92412 25679 64605
AHBM, 2.6082e+16, 1.9033e-05, 27, N, 18, 152752 167440 109583 104584 83095 30301
AIPK, 2.2394e+16, 1.6341e-05, 85, N, 66, 3371 157584 155457 152237 160608 125642
ADPO, 2.0649e+16, 1.5068e-05, 342, N, 288, 155178 147982 119709 142427 71050 6250
BBJM, 1.6664e+16, 1.2160e-05, 23, N, 24, 42499 48654 77664 57619 31140 155127
AIPI, 1.5070e+16, 1.0997e-05, 26, N, 30, 32884 21431 115702 32338 146733 61862
AEPO, 1.4852e+16, 1.0838e-05, 82, N, 96, 60955 115204 167561 26686 135337 125642
AIPO, 1.4766e+16, 1.0775e-05, 107, N, 126, 60723 90444 102284 23671 30268 61862
IANO, 1.3403e+16, 9.7808e-06, 37, N, 48, 73523 103012 17342 41991 111372 52703
AHBO, 9.9821e+15, 7.2842e-06, 31, N, 54, 146395 146734 152393 8354 131010 76961
BINK, 8.1672e+15, 5.9598e-06, 31, N, 66, 108407 87175 128620 32338 38355 161362
AKNO, 7.3141e+15, 5.3372e-06, 53, N, 126, 145545 50287 162051 23737 82379 30941
AGNM, 5.4338e+15, 3.9652e-06, 15, N, 48, 108346 148918 11608 160890 29391 68865
